imo,name
0720495,MSC BRANKA
1015363,SINAR SULAWESI
1015375,SINAR SUMATERA
1025526,NORDATLANTIC
1043516,SINAR PANGKALAN SUSU
1342429,ZHONG YI ZE TAI
1400704,ZHONG YI RUN YANG
508,AS NARA
5555555,NEWPORT CYPRESS 89
6913529,MANUKAI
7226574,FEEDER
7321087,LURLINE
7383906,MSC NAMIBIA
7809871,FORT DESAIX
8217867,EVER GENTLE
8509014,CISL LEENE
8713550,TRADER
8813037,ELISABETH
8907412,KOKOPO CHIEF
8952857,GOLDEN STAR 1
9008574,MSC TASMANIA
9020338,INGA A
9020352,INGA A
9038373,DUBAI ALLIANCE
9040120,DUBAI FORTUNE
9060637,MSC MARTINA
9081019,SOL MALAYSIA
9101106,MTT KUCHING DUA
9102291,OOCL AMERICA
9103685,MSC BRIANNA
9106467,CASABLANCA A
9106479,MED CORLU
9106778,CNC RUBY
9108063,PIRITA
9110391,MSC DYMPHNA
9110937,GANTA BHUM
9112686,CHANA BHUM
9112698,DANU BHUM
9116369,MSC SENA
9119660,BLPL TRUST
9120865,SALLY MAERSK
9121871,DUBAI ENTERPRISE
9122538,DONG FANG QIANG
9122605,MELINA
9123518,ARIES
9123582,HR FARHA
9123790,RITA
9126211,DORNBUSCH
9126716,LAURA
9126742,ROZA A
9126754,TOMRIZ A
9126766,CORELLI
9130535,UNI-ACCORD
9130547,UNI-ACTIVE
9130559,UNI-ADROIT
9131852,KMTC PUSAN
9131864,KMTC ULSAN
9133874,POS TOKYO
9134139,DUBAI ALLIANCE
9134153,WEC MAJORELLE
9134232,EVER DAINTY
9137521,SSL VISAKHAPATNAM
9137533,SSL GUJARAT
9137545,SSL MUMBAI
9137569,GFS RANNA
9138159,ISEACO FORTUNE
9138161,AEGEAN EXPRESS
9138252,HE JIN
9138355,K-RIVER
9141314,SSL BHARAT
9143465,LILA BHUM
9143544,KOBE EXPRESS
9143568,LONDON EXPRESS
9144316,JIN SHUN HE
9145293,PIRA BHUM
9146065,MTT PULAU PINANG
9146297,BLPL FAITH
9147215,MED CERKEZKOY
9148532,MTT BINTULU
9149328,MSC NADRIELY
9149823,PHOENIX D
9149885,FIONA
9150212,TB KAIYUAN
9152923,BELITAKI
9153850,MSC GIOVANNA VII
9154220,MSC CAPRI
9155016,X-PRESS KOHIMA
9157399,HR SAHARE
9157404,HR SARERA
915858,BRIDGE
9159098,CTP GOLDEN
9160712,FENGYUNHE
9161182,ELREEDY STAR
9162215,MAERSK KARACHI
9162227,MARIANNA I
9162631,MSC ASLI
9164263,TYGRA
9164275,MAERSK AVON
9166792,SKAGEN MAERSK
9167447,KOTA RATNA
9168867,MSC URSULA VI
9168879,EVER USEFUL
9169043,MSC CAITLIN
9169495,MOGRAL
9169809,MAERSK SAVANNAH
9170638,JIN JI YUAN
9172313,KUO CHANG
9173329,RAGNA
9175597,HR RHEA
9175705,MANDO
9175781,MAERSK ANTWERP
9179828,MSC SHIVALIKA III
9182033,KOTA AZAM
9187344,ATHENA
9187863,GFS JADE
9187875,GFS JUNO
9188154,EVER UTILE
9188506,HANNI
9189500,IAN H
9190731,LOUIS MAERSK
9190743,LAUST MAERSK
9190755,LEDA MAERSK
9190767,LEXA MAERSK
9190779,LICA MAERSK
9190781,LUNA MAERSK
9192466,NICOLINE MAERSK
9192478,NORA MAERSK
9193240,MAERSK KENTUCKY
9193276,GRASMERE MAERSK
9193305,SEOUL EXPRESS
9193317,AMSTERDAM EXPRESS
9193525,LOTUS
9194490,IBN AL ABBAR
9194505,TAICHUNG
9194866,MSC CHERYL 3
9196838,MSC YORK VII
9196955,EVER ULYSSES
9196967,EVER UNICORN
9196979,ITAL USODIMARE
9196981,ITAL UNICA
9196993,ITAL UNIVERSO
9197349,BANGKOK
9198109,OOCL NEW YORK
9198575,CLIFFORD MAERSK
9199268,OOCL SAN FRANCISCO
9200691,BRUSSELS
9200809,SINGAPORE EXPRESS
9202194,UNI-PRUDENT
9202223,UNI-PREMIER
9202235,UNI-PROBITY
9202259,DUBAI VENTURE
9202481,SEA OF LUCK
9202649,MSC DIEGO
9203502,MAIRA
9203538,MSC MALENA
