Vessel Name,Predicted ETA,Distance / Time,Course / Speed,Current draught,Navigation Status,Position received,IMO / MMSI,Callsign,Flag,Length / Beam,IMO

STAR VIRGO,-,-,307.1° / 10.6 kn,9.8 m,-,6 days ago,9731432 / 209064000,5BRZ4,Cyprus,300 / 50 m,9731432
STAR MAGNANIMUS,-,-,,9.3 m,-,5 days ago,9731470 / 636018305,D5PD2,Liberia,300 / 50 m,9731470
STAR MARISA,-,-,,11.7 m,At anchor,12 hours ago,9731456 / 636019357,D5UD2,Liberia,300 / 50 m,9731456
STAR LAETITIA,,,,18.8 m,-,10 days ago,9756248 / 636021272,5LDC9,Liberia,300 / 50 m,9756248
BRILLIANT LADY,-,-,,7.7 m,Under way,0 min ago,9870654 / 311001167,C6FQ3,Bahamas,277 / 40 m,9870654
RESILIENT LADY,,,,8.0 m,-,29 hours ago,9805348 / 311001056,C6FA8,Bahamas,277 / 42 m,9805348
WINNING WISDOM,-,-,,10.5 m,-,17 days ago,9738583 / 563219600,9V9549,Singapore,300 / 50 m,9738583
VALIANT LADY,,,,8.0 m,Under way,7 hours ago,9805336 / 311000983,C6ER7,Bahamas,277 / 42 m,9805336
SCARLET LADY,-,-,,8.3 m,-,40 hours ago,9804801 / 311000807,C6DX2,Bahamas,277 / 38 m,9804801
MINERAL SHOUGANG INT,-,-,,18.1 m,-,3 days ago,9738571 / 255801650,CQNL,Portugal (Madeira),300 / 50 m,9738571
NSU AMBITIOUS,-,-,,18.3 m,-,17 days ago,9870563 / 636019566,D5VC2,Liberia,299 / 50 m,9870563
NSU YOUNG STAR,-,-,,13.4 m,At anchor,3 min ago,9839026 / 636019353,D5UC7,Liberia,299 / 50 m,9839026
NSU ZENITH,-,-,,14.7 m,Moored,5 min ago,9839038 / 374398000,H9DF,Panama,299 / 50 m,9839038
NSU CHALLENGER,-,-,,9.3 m,At anchor,2 min ago,9870575 / 636019684,D5VQ7,Liberia,299 / 50 m,9870575
STAR VIRGO,-,-,307.1° / 10.6 kn,9.8 m,-,6 days ago,9731432 / 209064000,5BRZ4,Cyprus,300 / 50 m,9731432
STAR MAGNANIMUS,-,-,,9.3 m,-,5 days ago,9731470 / 636018305,D5PD2,Liberia,300 / 50 m,9731470
STAR MARISA,-,-,,11.7 m,At anchor,12 hours ago,9731456 / 636019357,D5UD2,Liberia,300 / 50 m,9731456
STAR LAETITIA,,,,18.8 m,-,10 days ago,9756248 / 636021272,5LDC9,Liberia,300 / 50 m,9756248
BRILLIANT LADY,-,-,,7.7 m,Under way,0 min ago,9870654 / 311001167,C6FQ3,Bahamas,277 / 40 m,9870654
RESILIENT LADY,,,,8.0 m,-,29 hours ago,9805348 / 311001056,C6FA8,Bahamas,277 / 42 m,9805348
WINNING WISDOM,-,-,,10.5 m,-,17 days ago,9738583 / 563219600,9V9549,Singapore,300 / 50 m,9738583
VALIANT LADY,,,,8.0 m,Under way,7 hours ago,9805336 / 311000983,C6ER7,Bahamas,277 / 42 m,9805336
SCARLET LADY,-,-,,8.3 m,-,40 hours ago,9804801 / 311000807,C6DX2,Bahamas,277 / 38 m,9804801
MINERAL SHOUGANG INT,-,-,,18.1 m,-,3 days ago,9738571 / 255801650,CQNL,Portugal (Madeira),300 / 50 m,9738571
NSU AMBITIOUS,-,-,,18.3 m,-,17 days ago,9870563 / 636019566,D5VC2,Liberia,299 / 50 m,9870563
NSU YOUNG STAR,-,-,,13.4 m,At anchor,3 min ago,9839026 / 636019353,D5UC7,Liberia,299 / 50 m,9839026
NSU ZENITH,-,-,,14.7 m,Moored,5 min ago,9839038 / 374398000,H9DF,Panama,299 / 50 m,9839038
NSU CHALLENGER,-,-,,9.3 m,At anchor,2 min ago,9870575 / 636019684,D5VQ7,Liberia,299 / 50 m,9870575
CSCL ZEEBRUGGE,,,,14.8 m,-,6 days ago,9314234 / 477690700,VRCS2,Hong Kong,337 / 46 m,9314234
CSCL LONG BEACH,,,,14.6 m,-,11 days ago,9314258 / 477883900,VRCZ7,Hong Kong,337 / 46 m,9314258
XIN LOS ANGELES,-,-,,11.8 m,Under way,1 min ago,9307217 / 477158700,VRBX6,Hong Kong,337 / 46 m,9307217
XIN SHANGHAI,,,,10.2 m,-,3 days ago,9307231 / 477282900,VRCC6,Hong Kong,337 / 46 m,9307231
XIN BEIJING,-,-,311.7° / 13.4 kn,14.8 m,-,27 hours ago,9314246 / 477768100,VRCS5,Hong Kong,336 / 45 m,9314246
XIN HONG KONG,,,123.9° / 17.2 kn,14.5 m,Under way,26 min ago,9314222 / 477593600,VRCH5,Hong Kong,336 / 46 m,9314222
PUSAN C,-,-,220° / 0.0 kn,13.8 m,At anchor,2 min ago,9307229 / 209251000,C4NK2,Cyprus,337 / 46 m,9307229
LE HAVRE,-,-,,9.5 m,At anchor,11 min ago,9307243 / 209979000,C4PW2,Cyprus,336 / 45 m,9307243
MARGRET OLDENDORFF,,,,9.2 m,-,32 hours ago,9648908 / 636016352,D5FS9,Liberia,300 / 50 m,9648908
MARLENE OLDENDORFF,-,-,,11.3 m,-,8 days ago,9678824 / 636016351,D5FS8,Liberia,300 / 50 m,9678824
CHINA ENTERPRISE,-,-,,18.6 m,-,6 days ago,9757175 / 563002200,9V2268,Singapore,300 / 50 m,9757175
AZUL HARMONY,-,-,,9.6 m,Moored,2 min ago,9883821 / 563106900,9V6428,Singapore,299 / 50 m,9883821
HUI SHENG HAI,,,,18.6 m,-,26 days ago,9889344 / 477706400,VRTR9,Hong Kong,300 / 50 m,9889344
OCEANIA MARU,,,,17.4 m,-,8 days ago,9860568 / 636019685,D5VQ8,Liberia,300 / 50 m,9860568
MINERAL HIROSHIGE,,,120.9° / 12.3 kn,9.1 m,Under way,1 min ago,9748112 / 205301000,ONMC,Belgium,299 / 50 m,9748112
CONQUISTADOR,-,-,,10.9 m,At anchor,7 min ago,9724635 / 636022614,5LJQ6,Liberia,300 / 50 m,9724635
MARAN LOYALTY,-,-,,18.4 m,-,2 days ago,9724659 / 241729000,SVDJ5,Greece,299 / 50 m,9724659
PINK SANDS,,,,18.5 m,-,3 days ago,9724647 / 636022616,5LJQ8,Liberia,300 / 50 m,9724647
CMA CGM FIDELIO,,,,10.5 m,Under way,1 min ago,9299642 / 229808000,9HA5606,Malta,349 / 42 m,9299642
NSU TRUST,-,-,,9.6 m,Moored,2 min ago,9782297 / 636017703,D5MI2,Liberia,299 / 50 m,9782297
BULK SANDEFJORD,-,-,,9.5 m,At anchor,5 min ago,9844590 / 636018968,D5SG6,Liberia,300 / 50 m,9844590
BULK SYDNEY,,,,9.3 m,-,4 days ago,9849758 / 636018973,D5SH3,Liberia,300 / 50 m,9849758
BULK SHENZHEN,,,,10.0 m,-,7 days ago,9849746 / 636018972,D5SH2,Liberia,299 / 50 m,9849746
BULK SAO PAULO,-,-,120.6° / 0.0 kn,8.3 m,-,73 days ago,9849760 / 636018974,D5SH4,Liberia,300 / 50 m,9849760
BULK SANTOS,,,,17.4 m,-,6 days ago,9849772 / 636018975,D5SH5,Liberia,300 / 50 m,9849772
CAPE SAPPHIRE,-,-,,9.3 m,At anchor,2 min ago,9832731 / 431933000,7KER,Japan,300 / 50 m,9832731
MSC ROMA,-,-,,12.7 m,Under way,10 hours ago,9304447 / 636018075,D5OB2,Liberia,337 / 45 m,9304447
MSC LISBON,,,,15.1 m,Under way,5 hours ago,9304459 / 636018079,A8LL9,Liberia,337 / 46 m,9304459
ZIM NEWARK,-,-,,8.2 m,-,2 days ago,9290555 / 218650000,DFDG2,Germany,337 / 46 m,9290555
ZIM HONG KONG,,,,14.0 m,-,10 days ago,9290567 / 218643000,DFDH2,Germany,337 / 46 m,9290567
MSC PINA,-,-,,12.7 m,Moored,2 min ago,9339272 / 372973000,3ELK8,Panama,337 / 46 m,9339272
MSC MARIA ELENA,-,-,,12.1 m,Moored,2 min ago,9304423 / 355919000,3EGR2,Panama,336 / 46 m,9304423
GUANG HENG HAI,,,,9.5 m,Under way,3 hours ago,9758650 / 477010200,VRQQ9,Hong Kong,300 / 50 m,9758650
GUANG LI HAI,-,-,,18.2 m,-,3 days ago,9758662 / 477100600,VRQX9,Hong Kong,300 / 50 m,9758662
GUANG YUAN HAI,-,-,,5.4 m,-,37 days ago,9758648 / 477636100,VRQF7,Hong Kong,300 / 50 m,9758648
CAPE GARNET,,,,9.8 m,-,7 days ago,9820867 / 431664000,7KDO,Japan,300 / 50 m,9820867
NSU VOYAGER,-,-,,9.1 m,At anchor,2 min ago,9790880 / 431491000,7JZQ,Japan,299 / 50 m,9790880
BERGE DACHSTEIN,,,,17.8 m,-,16 days ago,9851282 / 232024277,MGBD8,United Kingdom (UK),299 / 50 m,9851282
CL YULIN,-,-,,18.4 m,-,10 days ago,9854545 / 636018992,D5SK6,Liberia,299 / 50 m,9854545
CL PEARL RIVER,-,-,,8.8 m,Moored,1 min ago,9844564 / 636018987,D5SJ9,Liberia,300 / 50 m,9844564
CL HUANGPU RIVER,,,,18.4 m,-,5 days ago,9844588 / 636018989,D5SK3,Liberia,299 / 50 m,9844588
CL BAISE,-,-,,4.7 m,-,7 days ago,9854569 / 636018994,D5SK8,Liberia,299 / 50 m,9854569
CL RHINE RIVER,,,172° / 10.6 kn,9.0 m,-,8 days ago,9844540 / 636018985,D5SJ7,Liberia,300 / 50 m,9844540
PSU TENTH,-,-,,16.5 m,Moored,1 min ago,9735191 / 563007600,9V5222,Singapore,300 / 50 m,9735191
STAR GINA 2GR,,,,9.2 m,Under way,1 min ago,9735177 / 636019641,D5VL6,Liberia,300 / 50 m,9735177
GOLIATH,,,,18.5 m,-,3 days ago,9735153 / 636020165,D5XZ3,Liberia,300 / 50 m,9735153
PSU NINTH,-,-,,11.8 m,-,9 days ago,9735189 / 566624000,9V5152,Singapore,300 / 50 m,9735189
SAMJOHN ARGONAUT,-,-,,17.1 m,-,9 days ago,9745938 / 538007305,V7IJ9,Marshall Islands,300 / 50 m,9745938
GARGANTUA,-,-,,12.5 m,At anchor,4 hours ago,9712682 / 636020164,D5XZ2,Liberia,300 / 50 m,9712682
KN ARCADIA,,,,16.1 m,-,3 days ago,9757917 / 563017900,9V3913,Singapore,300 / 50 m,9757917
KN AMETHYST,,,,18.4 m,-,9 days ago,9757905 / 563010400,9V3912,Singapore,300 / 50 m,9757905
SAMJOHN ODYSSEY,-,-,,17.0 m,At anchor,2 min ago,9745940 / 538008161,V7A2028,Marshall Islands,300 / 50 m,9745940
GOLDEN COMPETENCE,-,-,,18.6 m,-,56 days ago,9856490 / 538008956,V7A2948,Marshall Islands,299 / 50 m,9856490
GOLDEN CORAL,-,-,290.8° / 0.0 kn,10.5 m,At anchor,2 min ago,9842712 / 538008557,V7A2155,Marshall Islands,300 / 50 m,9842712
GOLDEN COMFORT,,,,18.3 m,-,4 days ago,9851804 / 538008726,V7A2697,Marshall Islands,299 / 50 m,9851804
GOLDEN COURAGE,-,-,,15.3 m,-,21 days ago,9851816 / 538008797,V7A2768,Marshall Islands,300 / 50 m,9851816
GOLDEN CHAMPION,,,,18.2 m,-,37 hours ago,9842724 / 538008571,V7A2525,Marshall Islands,300 / 50 m,9842724
MOUNT STEELE,,,,18.1 m,-,9 days ago,9860958 / 636019508,D5UV4,Liberia,300 / 50 m,9860958
VOUTAKOS,-,-,,10.7 m,-,31 days ago,9864112 / 636019513,D5UV9,Liberia,300 / 50 m,9864112
MOUNT ALBERTA,-,-,,-,-,35 days ago,9860960 / 636019509,D5UV5,Liberia,300 / 50 m,9860960
TOMINI K12,-,-,,9.2 m,At anchor,2 min ago,9860984 / 636019511,D5UV7,Liberia,300 / 50 m,9860984
HELENA OLDENDORFF,-,-,,11.6 m,-,9 days ago,9718351 / 636017586,D5LR4,Liberia,299 / 50 m,9718351
TRUE NAUTILUS,,,,11.3 m,-,8 days ago,9718387 / 636022054,5LGZ2,Liberia,299 / 50 m,9718387
HEDWIG OLDENDORFF,-,-,,18.4 m,-,39 days ago,9742728 / 255805874,CQZU,Portugal (Madeira),299 / 50 m,9742728
HERMINE OLDENDORFF,,,,10.2 m,-,23 hours ago,9718375 / 255805872,CQZS,Portugal (Madeira),299 / 50 m,9718375
