Vessel Name,Predicted ETA,Distance / Time,Course / Speed,Current draught,Navigation Status,Position received,IMO / MMSI,Callsign,Flag,Length / Beam
,,,,,,,,,,
ONE INNOVATION,-,-,45° / 16.6 kn,11.2 m,-,4 days ago,9939137 / 636022889,5LKX7,Liberia,400 / 61 m
SA OCEANIA,-,-,,18.0 m,At anchor,0 min ago,9246633 / 636023619,5LOP4,Liberia,380 / 68 m
EUROPE,-,-,,19.0 m,At anchor,1 hour ago,9235268 / 636022398,5LIP2,Liberia,380 / 68 m
MSC AMBRA,-,-,,12.6 m,Under way,2 hours ago,9839480 / 352269000,3FKB,Panama,400 / 62 m
MSC FEBE,,,,15.5 m,-,4 days ago,9839478 / 372729000,3EXK8,Panama,400 / 62 m
MSC MIA,-,-,321° / 0.0 kn,16.4 m,Moored,3 min ago,9839466 / 355798000,HP6643,Panama,400 / 62 m
MSC LENI,,,,15.1 m,Under way,36 min ago,9839454 / 356432000,3FPV5,Panama,400 / 62 m
MSC SAMAR,,,,13.8 m,-,46 hours ago,9839442 / 371047000,3FKE9,Panama,400 / 62 m
MSC GULSUN,-,-,112.1° / 0.0 kn,13.5 m,Moored,5 min ago,9839430 / 372003000,3FTV6,Panama,400 / 62 m
HMM SOUTHAMPTON,-,-,218.9° / 0.0 kn,12.3 m,At anchor,3 min ago,9868340 / 440363000,D7JS,Korea,400 / 62 m
HMM STOCKHOLM,,,97.9° / 8.6 kn,13.0 m,Under way,0 min ago,9868352 / 440361000,D7JP,Korea,400 / 62 m
HMM OSLO,,,,15.7 m,Under way,1 min ago,9868326 / 440489000,D7JW,Korea,400 / 62 m
HMM ROTTERDAM,,,,14.5 m,-,4 days ago,9868338 / 440328000,D7IB,Korea,400 / 62 m
HMM ST PETERSBURG,-,-,,10.4 m,-,8 days ago,9868364 / 440486000,D7JX,Korea,400 / 62 m
DAMIETTA EXPRESS,-,-,,13.0 m,Moored,3 min ago,9543108 / 218038370,DFPD2,Germany,400 / 61 m
BERLIN EXPRESS,-,-,38.5° / 7.6 kn,10.2 m,-,4 days ago,9540118 / 211119000,DIVZ2,Germany,400 / 61 m
HAMBURG EXPRESS,,,,13.7 m,Under way,0 min ago,9943865 / 211123000,DFPW,Germany,400 / 61 m
SINGAPORE EXPRESS,-,-,,16.4 m,At anchor,3 min ago,9543093 / 211122000,DFPH2,Germany,400 / 61 m
GDANSK EXPRESS,,,,10.7 m,-,7 days ago,9943877 / 211124000,DJCO2,Germany,400 / 61 m
BUSAN EXPRESS,,,,14.9 m,Under way,0 min ago,9540144 / 218026640,DPRP,Germany,400 / 61 m
HANOI EXPRESS,-,-,,13.8 m,Moored,1 min ago,9540132 / 211120000,DFYX2,Germany,400 / 61 m
MANILA EXPRESS,,,,16.4 m,-,5 days ago,9540120 / 218006290,DCAU2,Germany,400 / 61 m
MSC MICHELLE,,,,16.3 m,-,38 hours ago,9897016 / 636020599,D5ZY4,Liberia,400 / 61 m
MSC AMELIA,,,,16.6 m,-,43 hours ago,9896995 / 636020543,D5ZR4,Liberia,400 / 61 m
MSC DILETTA,,,,15.5 m,Under way,0 min ago,9897004 / 636020598,D5ZY3,Liberia,400 / 61 m
MSC ALLEGRA,-,-,,4.0 m,Under way,10 hours ago,9897028 / 636020600,D5ZY5,Liberia,400 / 61 m
MSC APOLLINE,-,-,325.3° / 5.7 kn,14.2 m,Under way,9 hours ago,9896983 / 636020542,D5ZR3,Liberia,400 / 61 m
MSC ARINA,-,-,,13.1 m,-,5 days ago,9839284 / 374607000,H9BV,Panama,400 / 61 m
MSC MINA,,,,15.7 m,Under way,5 hours ago,9839260 / 351862000,3ENB2,Panama,400 / 61 m
MSC SIXIN,-,-,,12.9 m,Under way,0 min ago,9839301 / 370711000,HP2652,Panama,400 / 61 m
MSC NELA,-,-,,14.1 m,-,7 days ago,9839296 / 356234000,HP7585,Panama,399 / 61 m
MSC ISABELLA,-,-,156.1° / 0.0 kn,14.0 m,Moored,2 min ago,9839272 / 353590000,HP3521,Panama,400 / 61 m
PETROBRAS P78,-,-,,-,-,42 hours ago,9959096 / 636021221,5LCW5,Liberia,-
HMM ALGECIRAS,-,-,,9.5 m,-,10 days ago,9863297 / 440326000,D7JI,Korea,400 / 61 m
HMM COPENHAGEN,,,,16.4 m,Under way,0 min ago,9863302 / 440487000,D7JR,Korea,400 / 61 m
HMM HELSINKI,,,166.3° / 16.1 kn,14.6 m,-,8 days ago,9863340 / 440288000,D7EL,Korea,400 / 61 m
HMM LE HAVRE,,,,15.9 m,Under way,9 min ago,9868314 / 440488000,D7JQ,Korea,400 / 61 m
HMM DUBLIN,,,,13.1 m,-,3 days ago,9863314 / 440348000,D7IS,Korea,400 / 61 m
HMM GDANSK,,,,12.4 m,-,2 days ago,9863326 / 440350000,D7JL,Korea,400 / 61 m
HMM HAMBURG,-,-,,13.8 m,At anchor,1 min ago,9863338 / 440223000,D7JM,Korea,400 / 61 m
SYMPHONY OF THE SEAS,,,129.3° / 20.0 kn,9.1 m,-,21 hours ago,9744001 / 311000660,C6DF6,Bahamas,362 / 66 m
